Player,Pos,Team,Num,Height,Weight,DOB
"Kirk, Christian",WR,JAC,13,"5'11""",200 lbs,11/18/96
"Kirkwood, Keith",WR,NO,18,"6'3""",210 lbs,12/26/94
"Kittle, George",TE,SF,85,"6'4""",250 lbs,10/9/93
"Kmet, Cole",TE,CHI,85,"6'6""",260 lbs,3/10/99
"Knox, Dawson",TE,BUF,88,"6'4""",254 lbs,11/14/96
"Kohou, Kader",CB,MIA,4,"5'10""",193 lbs,11/28/98
"Kolar, Charlie",TE,BAL,88,"6'6""",257 lbs,2/10/99
"Koo, Younghoe",K,ATL,6,"5'9""",185 lbs,8/3/94
"Koonce, Malcolm",DE,LV,51,"6'3""",250 lbs,6/6/98
"Kpassagnon, Tanoh",DE,NO,92,"6'7""",289 lbs,6/14/94
"Kraft, Tucker",TE,GB,85,"6'5""",259 lbs,11/3/00
"Kramer, Doug",OL,CHI,68,"6'2""",300 lbs,6/4/98
"Kreiter, Casey",LS,NYG,59,"6'1""",250 lbs,8/13/90
"Kroft, Tyler",TE,MIA,82,"6'6""",252 lbs,10/15/92
"Kunaszyk, Jordan",LB,CLE,51,"6'3""",235 lbs,10/15/96
"Kuntz, Christian",LS,PIT,46,"6'1""",228 lbs,4/13/94
"Kupp, Cooper",WR,LAR,10,"6'2""",208 lbs,6/15/93
"Lacy, Tyler",DE,JAC,93,"6'4""",285 lbs,11/10/99
"Lake, Quentin",DB,LAR,37,"6'1""",201 lbs,1/29/99
"Lamb, CeeDee",WR,DAL,88,"6'2""",200 lbs,4/8/99
"Lamm, Kendall",OT,MIA,70,"6'5""",308 lbs,6/5/92
"Lammons, Chris",DB,IND,34,"5'10""",190 lbs,1/31/96
"Lance, Trey",QB,DAL,15,"6'4""",226 lbs,5/9/00
"Land, Isaiah",LB,IND,55,"6'4""",225 lbs,2/5/00
"Landman, Nate",LB,ATL,53,"6'3""",235 lbs,11/19/98
"Landry III, Harold",LB,TEN,58,"6'2""",252 lbs,6/5/96
"LaPorta, Sam",TE,DET,87,"6'3""",245 lbs,1/12/01
"Larsen, Tyler",C,WAS,69,"6'4""",335 lbs,7/8/91
"Lattimore, Marshon",CB,NO,23,"6'0""",192 lbs,5/19/96
"Latu, Cameron",TE,SF,81,"6'5""",244 lbs,2/24/00
"Lawrence, Demarcus",DE,DAL,90,"6'3""",265 lbs,4/28/92
"Lawrence, Dexter",DL,NYG,97,"6'4""",342 lbs,11/12/97
"Lawrence, Trevor",QB,JAC,16,"6'6""",220 lbs,10/6/99
"Lawson, Carl",DL,NYJ,58,"6'2""",265 lbs,6/29/95
"Lawson, Shaq",DE,BUF,90,"6'3""",265 lbs,6/17/94
"Layne, Raheem",S,LAC,41,"5'11""",192 lbs,7/2/99
"Lazard, Allen",WR,NYJ,10,"6'5""",227 lbs,12/11/95
"Leal, DeMarvin",DE,PIT,98,"6'4""",290 lbs,7/1/00
"Leavitt, Dallin",S,GB,6,"5'10""",195 lbs,8/8/94
"Ledbetter, Jeremiah",DL,JAC,99,"6'3""",299 lbs,6/2/94
"Ledbetter, Jonathan",DL,ARI,93,"6'4""",282 lbs,9/12/97
"Lee, Ricky",OT,CAR,61,"6'5""",289 lbs,11/16/99
"Lemieux, Shane",G,NYG,66,"6'4""",310 lbs,5/12/97
"Leno Jr., Charles",OT,WAS,72,"6'3""",302 lbs,10/9/91
"Lenoir, Deommodore",DB,SF,2,"5'10""",200 lbs,10/6/99
"Leo, Titus",DE,IND,91,"6'3""",245 lbs,8/26/99
"Leonard, Deane",DB,LAC,33,"6'0""",195 lbs,11/20/99
"Leonard, Shaquille",LB,IND,53,"6'2""",230 lbs,7/27/95
"Leverett, Nick",G,TB,60,"6'4""",310 lbs,1/11/97
"Levin, Corey",C,TEN,62,"6'4""",307 lbs,8/12/94
"Levis, Will",QB,TEN,8,"6'4""",229 lbs,6/27/99
"Lewis, Cam",CB,BUF,39,"5'9""",183 lbs,4/13/97
"Lewis, Damien",G,SEA,68,"6'2""",327 lbs,3/21/97
"Lewis, Jourdan",CB,DAL,2,"5'10""",195 lbs,8/31/95
"Lewis, Marcedes",TE,CHI,84,"6'6""",265 lbs,5/19/84
"Lewis, Tyquan",DE,IND,94,"6'3""",267 lbs,1/30/95
"Likely, Isaiah",TE,BAL,80,"6'4""",241 lbs,4/18/00
"Linderbaum, Tyler",C,BAL,64,"6'2""",305 lbs,4/7/00
"Lindstrom, Chris",G,ATL,63,"6'3""",307 lbs,2/28/97
"Linsley, Corey",C,LAC,63,"6'3""",301 lbs,7/27/91
"Little, Walker",OL,JAC,72,"6'7""",325 lbs,4/1/99
"Littleton, Cory",LB,HOU,42,"6'3""",225 lbs,11/18/93
"Lloyd, Devin",LB,JAC,33,"6'3""",235 lbs,9/30/98
"Lock, Drew",QB,SEA,2,"6'4""",228 lbs,11/10/96
"Locke, P.J.",S,DEN,6,"5'10""",202 lbs,2/12/97
"Lockett, Tyler",WR,SEA,16,"5'10""",182 lbs,9/28/92
"London, Drake",WR,ATL,5,"6'4""",213 lbs,7/24/01
"Long, Hunter",TE,LAR,84,"6'5""",253 lbs,8/19/98
"Long Jr., David",CB,LV,23,"5'11""",196 lbs,2/6/98
"Long Jr., David",LB,MIA,51,"5'11""",227 lbs,10/12/96
"Loudermilk, Isaiahh",DT,PIT,92,"6'7""",293 lbs,10/10/97
"Lovato, Rick",LS,PHI,45,"6'2""",249 lbs,9/9/92
"Love, Jordan",QB,GB,10,"6'4""",219 lbs,11/2/98
"Love, Julian",S,SEA,20,"5'11""",195 lbs,3/19/98
"Lowe, Vederian",OT,NE,59,"6'6""",320 lbs,4/17/99
"Lowry, Dean",DL,MIN,94,"6'6""",296 lbs,6/9/94
"Lucas, Abraham",OT,SEA,72,"6'6""",322 lbs,10/25/98
"Lucas, Cornelius",OT,WAS,78,"6'8""",327 lbs,7/18/91
"Luepke, Hunter",RB,DAL,40,"6'1""",238 lbs,2/28/00
"Luketa, Jesse",LB,ARI,43,"6'3""",253 lbs,1/15/99
"Luter Jr., Darrell",CB,SF,28,"6'0""",190 lbs,4/24/00
"Lutz, Wil",K,DEN,16,"5'11""",184 lbs,7/7/94
"Luvu, Frankie",LB,CAR,49,"6'3""",235 lbs,9/19/96
"Lynch, James",DL,MIN,92,"6'4""",295 lbs,1/20/99
"Mack, Khalil",LB,LAC,52,"6'3""",269 lbs,2/22/91
"Mack, Marlon",RB,ARI,32,"5'11""",210 lbs,3/7/96
"Maddox, Avonte",CB,PHI,29,"5'9""",184 lbs,3/31/96
"Madubuike, Justin",DT,BAL,92,"6'3""",305 lbs,11/17/97
"Mafe, Boye",LB,SEA,53,"6'4""",261 lbs,11/30/98
"Mafi, Atonio",OL,NE,68,"6'3""",330 lbs,10/20/00
"Maher, Brett",K,LAR,8,"6'0""",180 lbs,11/21/89
"Mahomes, Patrick",QB,KC,15,"6'2""",225 lbs,9/17/95
"Mailata, Jordan",OT,PHI,68,"6'8""",365 lbs,3/31/97
"Mallory, Will",TE,IND,86,"6'4""",239 lbs,6/22/99
"Malone, DeAngelo",LB,ATL,51,"6'4""",240 lbs,7/12/99
"Manhertz, Chris",TE,DEN,84,"6'6""",235 lbs,4/10/92
"Manning, Ilm",OL,ARI,73,"6'2""",294 lbs,7/23/99
"Mapu, Marte",LB,NE,30,"6'3""",230 lbs,11/8/99
"Mariota, Marcus",QB,PHI,8,"6'4""",222 lbs,10/30/93
"Marshall Jr., Terrace",WR,CAR,88,"6'2""",200 lbs,6/9/00
"Martin, Brodric",DL,DET,98,"6'5""",330 lbs,5/24/99
"Martin, Jacob",DE,IND,92,"6'2""",242 lbs,12/11/95
"Martin, Jartavius",DB,WAS,20,"6'0""",195 lbs,4/17/00
"Martin, Sam",P,BUF,8,"6'1""",211 lbs,2/27/90
"Martin, Zack",G,DAL,70,"6'4""",315 lbs,11/20/90
"Mason, Jordan",RB,SF,24,"5'11""",223 lbs,5/24/99
"Mason, Shaq",G,HOU,69,"6'1""",310 lbs,8/28/93
"Masterson, Luke",LB,LV,59,"6'1""",220 lbs,1/7/98
"Matakevich, Tyler",LB,BUF,44,"6'1""",235 lbs,12/22/92
"Mathieu, Tyrann",S,NO,32,"5'9""",190 lbs,5/13/92
"Mathis, Damarri",CB,DEN,27,"5'11""",195 lbs,4/12/99
"Mathis, Ochaun",LB,LAR,32,"6'5""",260 lbs,1/9/99
"Mathis, Phidarian",DT,WAS,98,"6'4""",312 lbs,4/26/98
"Matiscik, Ross",LS,JAC,46,"6'0""",240 lbs,9/13/96
"Matlock, Scott",DL,LAC,99,"6'4""",296 lbs,6/28/00
"Matthew, Christian",CB,ARI,35,"6'2""",195 lbs,10/26/96
"Matthews, Jake",OT,ATL,70,"6'5""",309 lbs,2/11/92
"Matthews, Jesse",WR,HOU,41,"6'0""",190 lbs,8/12/99
"Mattison, Alexander",RB,MIN,2,"5'11""",215 lbs,6/19/98
"Mauch, Cody",G,TB,69,"6'5""",302 lbs,1/15/99
"Maulet, Arthur",CB,BAL,10,"5'9""",190 lbs,7/13/93
"Maxwell, Devonnsha",DT,CIN,69,"6'2""",297 lbs,5/5/99
"Maye, Marcus",S,NO,6,"6'0""",207 lbs,3/9/93
"Mayer, Michael",TE,LV,87,"6'4""",265 lbs,7/6/01
"Mayfield, Baker",QB,TB,6,"6'1""",215 lbs,4/14/95
"Mayo, David",LB,WAS,51,"6'2""",240 lbs,8/18/93
"Mays, Cade",G,CAR,68,"6'6""",325 lbs,4/26/99
"McBride, Trey",TE,ARI,85,"6'4""",246 lbs,11/22/99
"McCaffrey, Christian",RB,SF,23,"5'11""",210 lbs,6/7/96
"McCain, Bobby",S,NYG,21,"5'9""",196 lbs,8/18/93
"McCain III, Mac",CB,CAR,35,"6'0""",175 lbs,2/6/98
"McClendon, Warren",OL,LAR,71,"6'4""",300 lbs,4/11/01
"McCloud, Nick",CB,NYG,44,"6'1""",190 lbs,7/9/98
"McCloud III, Ray-Ray",WR,SF,3,"5'9""",190 lbs,10/15/96
"McCollum, Zyon",CB,TB,27,"6'2""",199 lbs,5/3/99
"McCoy, Erik",C,NO,78,"6'4""",303 lbs,8/27/97
"McCreary, Roger",CB,TEN,21,"5'11""",190 lbs,2/10/00
"McCullough, Liam",LS,ATL,49,"6'2""",247 lbs,6/5/97
"McDonald IV, Will",DL,NYJ,99,"6'3""",241 lbs,6/4/99
"McDuffie, Isaiah",LB,GB,58,"6'1""",227 lbs,7/21/99
"McDuffie, Trent",CB,KC,22,"5'11""",193 lbs,9/13/00
"McFadden, Jordan",OL,LAC,71,"6'2""",303 lbs,11/16/99
"McFadden, Micah",LB,NYG,41,"6'2""",232 lbs,1/3/00
"McFarland Jr., Anthony",RB,PIT,26,"5'8""",193 lbs,3/4/99
"McGary, Kaleb",OT,ATL,76,"6'6""",306 lbs,2/22/95
"McGlinchey, Mike",OT,DEN,69,"6'8""",315 lbs,1/12/95
"McGovern, Connor",G,BUF,66,"6'5""",318 lbs,11/3/97
"McGovern, Connor",C,NYJ,60,"6'4""",306 lbs,4/27/93
"McGrone, Cameron",LB,IND,59,"6'1""",236 lbs,6/22/00
"McGuire, Isaiah",DE,CLE,57,"6'4""",268 lbs,7/27/01
"McIntosh, Kenny",RB,SEA,25,"6'0""",204 lbs,3/3/00
"McKee, Tanner",QB,PHI,19,"6'6""",231 lbs,4/27/00
"McKenzie, Isaiah",WR,IND,6,"5'8""",173 lbs,4/9/95
"McKethan, Marcus",OL,NYG,60,"6'7""",335 lbs,5/19/00
"McKinley III, Verone",S,MIA,32,"5'10""",190 lbs,6/29/00
"McKinney, Xavier",S,NYG,29,"6'0""",201 lbs,8/8/98
"McKinnon, Jerick",RB,KC,1,"5'9""",209 lbs,5/3/92
"McKitty, Tre'",TE,LAC,88,"6'4""",246 lbs,1/12/99
"McKivitz, Colton",OL,SF,68,"6'6""",301 lbs,8/9/96
"McLaughlin, Chase",K,TB,4,"6'1""",190 lbs,4/9/96
"McLaughlin, Jaleel",RB,DEN,38,"5'7""",187 lbs,9/13/00
"McLaurin, Terry",WR,WAS,17,"6'0""",210 lbs,9/15/95
"McLeod, Rodney",S,CLE,26,"5'10""",185 lbs,6/23/90
"McManus, Brandon",K,JAC,10,"6'3""",201 lbs,7/25/91
"McMillan, Raekwon",LB,NE,50,"6'2""",250 lbs,11/17/95
"McMillian, Ja'Quan",CB,DEN,29,"5'10""",183 lbs,6/4/00
"McNeill, Alim",DL,DET,54,"6'2""",315 lbs,5/11/00
"McPhearson, Zech",CB,PHI,27,"5'11""",191 lbs,3/21/98
"McPherson, Evan",K,CIN,2,"5'11""",185 lbs,7/21/99
"Meinerz, Quinn",G,DEN,77,"6'3""",320 lbs,11/15/98
"Mekari, Patrick",OL,BAL,65,"6'4""",305 lbs,8/13/97
"Melifonwu, Ifeatu",S,DET,6,"6'3""",210 lbs,5/2/99
"Meredith, Jordan",G,LV,61,"6'2""",300 lbs,1/4/98
"Merritt, Kirk",WR,NO,33,"6'1""",214 lbs,1/5/97
"Merriweather, Kaevon",S,TB,26,"6'0""",207 lbs,12/20/99
"Metcalf, DK",WR,SEA,14,"6'4""",235 lbs,12/14/97
"Metchie III, John",WR,HOU,8,"5'11""",187 lbs,7/18/00
"Metellus, Josh",S,MIN,44,"5'11""",207 lbs,1/21/98
"Meyers, Jakobi",WR,LV,16,"6'2""",200 lbs,11/9/96
"Milano, Matt",LB,BUF,58,"6'0""",223 lbs,7/28/94
"Miller, Kendre",RB,NO,25,"6'0""",220 lbs,6/11/02
"Miller, Kolton",OT,LV,74,"6'8""",325 lbs,10/2/95
"Miller, Scott",WR,ATL,16,"5'9""",174 lbs,7/31/97
"Miller, Ventrell",LB,JAC,51,"6'0""",221 lbs,1/15/99
"Miller, Von",LB,BUF,40,"6'3""",250 lbs,3/26/89
"Mills, Davis",QB,HOU,10,"6'4""",225 lbs,10/21/98
"Mills, Jalen",DB,NE,2,"6'0""",200 lbs,4/6/94
"Milne, Dax",WR,WAS,15,"6'0""",190 lbs,6/23/99
"Mims Jr., Marvin",WR,DEN,19,"5'11""",182 lbs,3/19/02
"Mingo, Jonathan",WR,CAR,15,"6'2""",220 lbs,4/20/01
"Minshew, Gardner",QB,IND,10,"6'1""",225 lbs,5/16/96
"Mitchell, Cameron",CB,CLE,29,"5'11""",191 lbs,9/8/01
"Mitchell, Elijah",RB,SF,25,"5'10""",200 lbs,5/2/98
"Mitchell, James",TE,DET,82,"6'4""",246 lbs,8/11/99
"Mitchell, Keaton",RB,BAL,34,"5'8""",191 lbs,1/17/02
"Mitchell, Max",OL,NYJ,61,"6'6""",299 lbs,10/2/99
"Mixon, Joe",HB,CIN,28,"6'1""",220 lbs,7/24/96
"Moehrig, Tre'von",S,LV,25,"6'2""",202 lbs,6/16/99
"Molden, Elijah",CB,TEN,24,"5'10""",192 lbs,1/30/99
"Mone, Bryan",DT,SEA,91,"6'3""",345 lbs,10/20/95
"Montgomery, David",RB,DET,5,"5'11""",224 lbs,6/7/97
"Montgomery, Ty",WR,NE,14,"6'0""",220 lbs,1/22/93
"Moody, Jake",K,SF,4,"6'1""",210 lbs,11/23/99
"Mooney, Darnell",WR,CHI,11,"5'11""",173 lbs,10/29/97
"Moore, Chris",WR,TEN,11,"6'1""",200 lbs,6/16/93
"Moore, DJ",WR,CHI,2,"5'11""",210 lbs,4/14/97
"Moore, Elijah",WR,CLE,8,"5'10""",180 lbs,3/27/00
"Moore, Jaylon",OL,SF,76,"6'4""",311 lbs,1/9/98
"Moore, Jaylon",WR,JAC,83,"5'11""",198 lbs,7/1/97
"Moore, Nick",LS,BAL,46,"6'2""",260 lbs,12/9/92
"Moore, Rondale",WR,ARI,4,"5'7""",180 lbs,6/9/00
"Moore, Skyy",WR,KC,24,"5'10""",195 lbs,9/10/00
"Moore II, Kenny",CB,IND,23,"5'9""",190 lbs,8/23/95
"Moore Jr., Dan",OT,PIT,65,"6'5""",315 lbs,9/28/98
"Moreau, Fabian",CB,DEN,23,"6'0""",198 lbs,4/9/94
"Moreau, Foster",TE,NO,87,"6'4""",250 lbs,5/6/97
"Morris, Mike",DE,SEA,94,"6'6""",295 lbs,4/22/01
"Morris, Quintin",TE,BUF,85,"6'2""",252 lbs,1/21/99
"Morris, Wanya",OL,KC,64,"6'6""",307 lbs,10/10/00
"Morrow, Nicholas",LB,PHI,41,"6'0""",216 lbs,7/10/95
"Morse, Mitch",C,BUF,60,"6'6""",305 lbs,4/21/92
"Morstead, Thomas",P,NYJ,5,"6'4""",225 lbs,3/8/86
"Moseley, Emmanuel",CB,DET,4,"5'11""",195 lbs,3/25/96
"Moses, Morgan",OT,BAL,78,"6'6""",320 lbs,3/3/91
"Mosley, C.J.",LB,NYJ,57,"6'2""",231 lbs,6/19/92
"Moss, Riley",CB,DEN,37,"6'0""",193 lbs,3/3/00
"Moss, Zack",RB,IND,21,"5'9""",205 lbs,12/15/97
"Mostert, Raheem",RB,MIA,31,"5'10""",205 lbs,4/9/92
"Moton, Taylor",OT,CAR,72,"6'5""",325 lbs,8/18/94
"Mukuamu, Israel",S,DAL,24,"6'4""",205 lbs,11/28/99
"Mullen, Trayvon",CB,BAL,28,"6'2""",190 lbs,9/20/97
"Mullens, Nick",QB,MIN,12,"6'0""",210 lbs,3/21/95
"Muma, Chad",LB,JAC,48,"6'3""",239 lbs,8/18/99
"Mundt, Johnny",TE,MIN,86,"6'4""",233 lbs,11/23/94
"Munford Jr., Thayer",OT,LV,77,"6'6""",315 lbs,9/18/99
"Murchison, Larrell",DT,LAR,52,"6'2""",297 lbs,4/24/97
"Murphy, Caleb",LB,TEN,42,"6'3""",254 lbs,12/15/99
"Murphy, Myles",DE,CIN,99,"6'5""",270 lbs,1/3/02
"Murphy Jr., Byron",CB,MIN,7,"5'11""",190 lbs,1/18/98
"Murphy-Bunting, Sean",CB,TEN,0,"6'0""",195 lbs,6/19/97
"Murray, Eric",S,HOU,23,"5'11""",199 lbs,1/7/94
"Murray, Kyler",QB,ARI,1,"5'10""",207 lbs,8/7/97
"Murray, Latavius",RB,BUF,28,"6'3""",230 lbs,1/18/90
"Murray Jr., Kenneth",LB,LAC,9,"6'2""",241 lbs,11/16/98
"Muse, Nick",TE,MIN,34,"6'5""",252 lbs,11/25/98
"Muse, Tanner",LB,LAC,44,"6'2""",227 lbs,9/6/96
"Musgrave, Luke",TE,GB,88,"6'6""",253 lbs,9/2/00
"Myarick, Chris",FB,NYG,85,"6'5""",261 lbs,10/6/95
"Myers, Jason",K,SEA,5,"5'10""",190 lbs,5/12/91
"Myers, Josh",C,GB,71,"6'5""",310 lbs,7/16/98
"Nacua, Puka",WR,LAR,17,"6'2""",205 lbs,5/29/00
"Nailor, Jalen",WR,MIN,83,"6'0""",190 lbs,3/2/99
"Nasirildeen, Hamsah",LB,NYJ,45,"6'3""",215 lbs,1/17/99
"Neal, Evan",OT,NYG,73,"6'7""",350 lbs,9/19/00
"Neal, Keanu",S,PIT,31,"6'0""",211 lbs,7/26/95
"Neal, Ryan",S,TB,23,"6'3""",200 lbs,12/24/95
"Neal, Siran",CB,BUF,33,"6'0""",206 lbs,8/4/94
"Needham, Nik",CB,MIA,40,"6'1""",196 lbs,11/4/96
"Nelson, Anthony",LB,TB,98,"6'7""",271 lbs,3/4/97
"Nelson, Matt",OT,DET,67,"6'7""",315 lbs,12/19/95
"Nelson, Quenton",G,IND,56,"6'5""",330 lbs,3/19/96
"Nelson, Steven",CB,HOU,21,"5'11""",194 lbs,1/22/93
"Neuzil, Ryan",OL,ATL,64,"6'3""",301 lbs,7/31/97
"Newman, Royce",G,GB,70,"6'5""",310 lbs,8/17/97
"Newman, Xavier",C,TEN,67,"6'2""",297 lbs,8/4/99
"Newsome II, Greg",CB,CLE,0,"6'0""",192 lbs,5/18/00
"Ngakoue, Yannick",DL,CHI,91,"6'2""",246 lbs,3/31/95
"Niang, Lucas",OT,KC,77,"6'6""",315 lbs,8/19/98
"Nichols, Bilal",DT,LV,91,"6'3""",313 lbs,9/14/96
"Nickerson, Parry",CB,MIA,34,"5'10""",179 lbs,10/11/94
"Niemann, Nick",LB,LAC,31,"6'3""",244 lbs,12/2/97
"Nijman, Yosh",OT,GB,73,"6'7""",314 lbs,1/2/96
"Nixon, Keisean",CB,GB,25,"5'10""",200 lbs,6/22/97
"Njoku, David",TE,CLE,85,"6'4""",246 lbs,7/10/96
"Nnadi, Derrick",DT,KC,91,"6'1""",317 lbs,5/9/96
"Noteboom, Joe",OL,LAR,70,"6'5""",321 lbs,6/19/95
"Nunez-Roches, Rakeem",DT,NYG,93,"6'2""",307 lbs,7/3/93
"Nwangwu, Kene",RB,MIN,26,"6'1""",210 lbs,2/9/98
"Nwosu, Uchenna",LB,SEA,10,"6'2""",251 lbs,12/28/96
"Obada, Efe",DE,WAS,97,"6'6""",265 lbs,4/13/92
"O'Connell, Aidan",QB,LV,4,"6'3""",210 lbs,9/1/98
"Odenigbo, Ifeadi",DE,NYJ,92,"6'3""",258 lbs,4/8/94
"Odeyingbo, Dayo",DE,IND,54,"6'6""",286 lbs,9/24/99
"Odighizuwa, Osa",DT,DAL,97,"6'2""",280 lbs,8/13/98
"O'Donnell, Carter",OL,ARI,61,"6'5""",313 lbs,12/23/98
"Odum, George",S,SF,30,"6'1""",202 lbs,11/3/93
"Ogbah, Emmanuel",DE,MIA,91,"6'4""",275 lbs,11/6/93
"Ogbongbemiga, Amen",LB,LAC,57,"6'0""",231 lbs,9/4/98
"Ogbonnia, Otito",DL,LAC,93,"6'4""",320 lbs,8/25/00
"Ogletree, Drew",TE,IND,85,"6'5""",260 lbs,7/28/98
"Ogunbowale, Dare",RB,HOU,33,"5'11""",205 lbs,5/4/94
"Ogundeji, Adetokunbo",LB,ATL,92,"6'4""",268 lbs,10/9/98
"Ogunjobi, Larry",DT,PIT,99,"6'3""",305 lbs,6/3/94
"Ojabo, David",LB,BAL,90,"6'4""",265 lbs,5/17/00
"Ojomo, Moro",DT,PHI,72,"6'3""",292 lbs,8/15/01
"Ojulari, Azeez",LB,NYG,51,"6'3""",240 lbs,6/16/00
"Ojulari, BJ",LB,ARI,18,"6'2""",248 lbs,4/5/02
"Okereke, Bobby",LB,NYG,58,"6'1""",235 lbs,7/29/96
"Okonkwo, Chigoziem",TE,TEN,85,"6'3""",238 lbs,9/8/99
"Okorafor, Chukwuma",OL,PIT,76,"6'6""",320 lbs,8/8/97
"Okoronkwo, Ogbo",DE,CLE,54,"6'2""",250 lbs,4/24/95
"Okudah, Jeff",CB,ATL,1,"6'1""",202 lbs,2/2/99
"Okwara, Julian",LB,DET,99,"6'4""",239 lbs,12/27/97
"Okwara, Romeo",DL,DET,95,"6'4""",255 lbs,6/17/95
"Okwuegbunam, Albert",TE,PHI,85,"6'5""",258 lbs,4/25/98
"Olave, Chris",WR,NO,12,"6'0""",187 lbs,6/27/00
"Oliver, Ed",DT,BUF,91,"6'1""",287 lbs,12/12/97
"Oliver, Isaiah",CB,SF,26,"6'0""",202 lbs,9/30/96
"Oliver, Josh",TE,MIN,84,"6'5""",259 lbs,3/21/97
"Olszewski, Gunner",WR,PIT,89,"6'0""",190 lbs,11/26/96
"Olubi, Segun",LB,IND,50,"6'0""",225 lbs,11/1/99
"Oluokun, Foyesade",LB,JAC,23,"6'2""",230 lbs,8/2/95
"Oluwatimi, Olu",C,SEA,51,"6'3""",309 lbs,8/5/99
"Omenihu, Charles",DE,KC,90,"6'5""",280 lbs,8/20/97
"O'Neill, Brian",OT,MIN,75,"6'7""",310 lbs,9/15/95
"Onujiogu, Joshua",LB,SEA,49,"6'2""",252 lbs,3/24/98
